"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","324","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","593","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","615","Login with correct email and password","LMS service","2026-07-23","passed","2026-07-23","Login","Authentication","",""
"","30","Update course","LMS service","2026-07-23","passed","2026-07-23","Update entity","Courses","",""
"","12","Get user me","LMS service","2026-07-23","passed","2026-07-23","Get entity","Users","",""
"","17","Get file with incorrect file id","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","31","Get three courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","298","Create file with empty directory","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","21","Get exercise","LMS service","2026-07-23","passed","2026-07-23","Get entity","Exercises","",""
"","308","Create file with empty filename","LMS service","2026-07-23","passed","2026-07-23","Validate entity","Files","",""
"","609","Create user","LMS service","2026-07-23","passed","2026-07-23","Create entity","Users","",""
"","23","Delete file","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Files","",""
"","333","Get courses","LMS service","2026-07-23","passed","2026-07-23","Get entities","Courses","",""
"","338","Update exercise","LMS service","2026-07-23","passed","2026-07-23","Update entity","Exercises","",""
"","15","Get file","LMS service","2026-07-23","passed","2026-07-23","Get entity","Files","",""
"","321","Delete exercise","LMS service","2026-07-23","passed","2026-07-23","Delete entity","Exercises","",""
"","21","Create exercise","LMS service","2026-07-23","passed","2026-07-23","Create entity","Exercises","",""
"","31","Create file","LMS service","2026-07-23","passed","2026-07-23","Create entity","Files","",""
"","30","Create course","LMS service","2026-07-23","passed","2026-07-23","Create entity","Courses","",""
"","20","Get three exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
"","326","Get exercises","LMS service","2026-07-23","passed","2026-07-23","Get entities","Exercises","",""
